load 2 P A,load 2 Q A,load2 P B,load 2 Q B,load 2 P C,load 2 Q C,load 1 P A,load 1 A,load 1 P B,load 1 Q B,load 1 P C,load 1 Q C,load 3 P,load 3 Q
0.0935,0.045284117,0.101668134,0.046248623,0.095161027,0.046021278,0.1385,0.067078612,0.144297975,0.067363433,0.150190359,0.069913075,0.1,0.04843221
0.0985,0.047705727,0.104330779,0.052203663,0.102849498,0.048128769,0.1585,0.076765054,0.163334121,0.080168554,0.166143329,0.083088824,0.1,0.04843221
0.0935,0.045284117,0.096960977,0.048137642,0.095518876,0.046841736,0.1535,0.074343443,0.154426652,0.07771388,0.161071512,0.078312305,0.12,0.058118653
0.0935,0.045284117,0.094304986,0.048344857,0.096472513,0.045567898,0.1535,0.074343443,0.15580398,0.076297047,0.157337364,0.07754085,0.1,0.04843221
0.0985,0.047705727,0.104368883,0.052378203,0.103212131,0.049684114,0.1535,0.074343443,0.1575878,0.074672132,0.157954156,0.075941396,0.1,0.04843221
0.0985,0.047705727,0.104388164,0.048295775,0.103039242,0.047812304,0.1535,0.074343443,0.154424975,0.074548512,0.155700704,0.074774407,0.1,0.04843221
0.0985,0.047705727,0.101169847,0.048661555,0.101104693,0.049280389,0.1535,0.074343443,0.15694587,0.07511864,0.160067135,0.077847594,0.1,0.04843221
0.0985,0.047705727,0.105341256,0.051235701,0.102580208,0.049125563,0.1535,0.074343443,0.156993494,0.075390316,0.1623878,0.075652945,0.1,0.04843221
0.0935,0.045284117,0.093648003,0.046010588,0.096006184,0.046232703,0.1585,0.076765054,0.165807921,0.07781503,0.167165911,0.08152317,0.1,0.04843221
0.0985,0.047705727,0.099893764,0.051697583,0.100621894,0.049397236,0.1535,0.074343443,0.156458199,0.076937461,0.158684931,0.080349683,0.12,0.058118653
0.0985,0.047705727,0.107539609,0.049498256,0.101625664,0.049326137,0.1535,0.074343443,0.155966367,0.077947733,0.158413278,0.079158478,0.1,0.04843221
0.0985,0.047705727,0.103874272,0.050279712,0.100454683,0.047952994,0.1535,0.074343443,0.153563697,0.076193761,0.156899041,0.078455192,0.1,0.04843221
0.0935,0.045284117,0.095127212,0.049001492,0.097579136,0.046857388,0.1535,0.074343443,0.158471648,0.077507911,0.166206398,0.077923225,0.1,0.04843221
0.0985,0.047705727,0.106525238,0.050277091,0.098801734,0.04991646,0.1535,0.074343443,0.15530338,0.077748089,0.160324542,0.081178434,0.1,0.04843221
0.0985,0.047705727,0.100902411,0.052142391,0.101148891,0.048349729,0.1535,0.074343443,0.159283772,0.076462863,0.159566083,0.07653231,0.12,0.058118653
0.0935,0.045284117,0.101138597,0.046257028,0.096694941,0.045956919,0.1535,0.074343443,0.154157994,0.077834643,0.154920042,0.081224118,0.1,0.04843221
0.0985,0.047705727,0.102466422,0.052197736,0.100424385,0.047814594,0.1535,0.074343443,0.157026101,0.076071668,0.157888961,0.079365204,0.1,0.04843221
0.0985,0.047705727,0.100271485,0.048551239,0.09923258,0.049699549,0.1535,0.074343443,0.154826261,0.075975395,0.161868145,0.078806159,0.12,0.058118653
0.0985,0.047705727,0.09855404,0.049325041,0.102243581,0.047841231,0.1585,0.076765054,0.159694375,0.078841769,0.16471509,0.079235474,0.12,0.058118653
0.0985,0.047705727,0.101251091,0.048957897,0.100548821,0.047927867,0.1535,0.074343443,0.156685855,0.0754492,0.163058272,0.078629862,0.12,0.058118653
0.0985,0.047705727,0.10804789,0.050838466,0.099317426,0.048507153,0.1485,0.071921833,0.150165837,0.075415619,0.150482547,0.077822617,0.1,0.04843221
0.0935,0.045284117,0.094822146,0.04679705,0.098135562,0.047228197,0.1535,0.074343443,0.159857868,0.076533858,0.16435234,0.079767799,0.1,0.04843221
0.0985,0.047705727,0.107572855,0.05070612,0.100943398,0.049923458,0.1485,0.071921833,0.153788894,0.075019498,0.157628729,0.077205666,0.1,0.04843221
0.0985,0.047705727,0.099657436,0.051808294,0.100518451,0.049106616,0.1485,0.071921833,0.153856238,0.075131548,0.154368445,0.077624106,0.12,0.058118653
0.0985,0.047705727,0.106025815,0.04965362,0.099581065,0.049719012,0.1385,0.067078612,0.142042763,0.069440607,0.144733018,0.070468464,0.1,0.04843221
0.0985,0.047705727,0.106355652,0.05169108,0.101849551,0.048691635,0.1385,0.067078612,0.143733493,0.06983125,0.148620129,0.071316076,0.1,0.04843221
0.0985,0.047705727,0.106557416,0.05028972,0.100964636,0.049816404,0.1585,0.076765054,0.163827403,0.077570015,0.164259848,0.078987936,0.1,0.04843221
0.0985,0.047705727,0.100960954,0.047803998,0.102007036,0.048550406,0.1535,0.074343443,0.153673996,0.076856352,0.154311686,0.07776206,0.1,0.04843221
0.0935,0.045284117,0.100697132,0.048775926,0.097344206,0.046791654,0.1535,0.074343443,0.158147286,0.075004749,0.164988447,0.076098576,0.1,0.04843221
0.0985,0.047705727,0.098694235,0.051611218,0.098963015,0.048688183,0.1435,0.069500222,0.146192154,0.070122765,0.14642283,0.073147349,0.1,0.04843221
0.0985,0.047705727,0.106226129,0.051353152,0.099789607,0.049932261,0.1535,0.074343443,0.153746684,0.074701975,0.159980092,0.077910473,0.12,0.058118653
0.0985,0.047705727,0.105779129,0.049022145,0.099498117,0.048253613,0.1435,0.069500222,0.144167189,0.072085044,0.147951214,0.075256037,0.1,0.04843221
0.0935,0.045284117,0.102180509,0.048361607,0.097928788,0.046646831,0.1535,0.074343443,0.157537681,0.07659167,0.163352996,0.078272353,0.12,0.058118653
0.0985,0.047705727,0.103794163,0.048354711,0.102028211,0.048995839,0.1535,0.074343443,0.155947187,0.07773581,0.161701138,0.079219545,0.12,0.058118653
0.0985,0.047705727,0.099760689,0.049518037,0.099657916,0.048924633,0.1485,0.071921833,0.150113724,0.073982567,0.152954142,0.074941617,0.1,0.04843221
0.0985,0.047705727,0.098585263,0.050822819,0.100489419,0.048352638,0.1535,0.074343443,0.160294125,0.076193083,0.160540741,0.077173405,0.1,0.04843221
0.0935,0.045284117,0.09818199,0.04683363,0.097430927,0.046427086,0.1385,0.067078612,0.138958745,0.06969349,0.14005488,0.070376953,0.12,0.058118653
0.0985,0.047705727,0.099902763,0.049316066,0.099045042,0.049466567,0.1485,0.071921833,0.15489633,0.073904589,0.156671813,0.077291035,0.12,0.058118653
0.0985,0.047705727,0.102742122,0.051478779,0.101033333,0.049444353,0.1435,0.069500222,0.144420915,0.070774928,0.149052238,0.073989469,0.1,0.04843221
0.0985,0.047705727,0.099933102,0.050010497,0.100851117,0.050025382,0.1585,0.076765054,0.161351509,0.080329386,0.169196187,0.082205475,0.1,0.04843221
0.0985,0.047705727,0.102808996,0.049062355,0.102882805,0.049144208,0.1485,0.071921833,0.153931458,0.074558306,0.160078732,0.074937063,0.1,0.04843221
0.0985,0.047705727,0.098555091,0.052129804,0.101683675,0.049160226,0.1585,0.076765054,0.164716627,0.078573951,0.168546249,0.079638327,0.1,0.04843221
0.0985,0.047705727,0.102031824,0.050418263,0.098649055,0.047868721,0.1535,0.074343443,0.153722533,0.074881987,0.155351352,0.078370396,0.1,0.04843221
0.0985,0.047705727,0.101756974,0.048585343,0.103144456,0.04832268,0.1435,0.069500222,0.147659932,0.07194116,0.150211029,0.072554461,0.1,0.04843221
0.0985,0.047705727,0.100602628,0.049517035,0.102402549,0.049110719,0.1535,0.074343443,0.153801425,0.077032076,0.154482147,0.079409905,0.1,0.04843221
0.0985,0.047705727,0.101590173,0.050767524,0.100475971,0.047983223,0.1385,0.067078612,0.140723039,0.068032155,0.14576202,0.071295138,0.12,0.058118653
0.0985,0.047705727,0.105567009,0.049855701,0.100715579,0.049813788,0.1435,0.069500222,0.148215402,0.070705319,0.148588101,0.071121969,0.12,0.058118653
0.0985,0.047705727,0.103879043,0.048639083,0.099861322,0.049000671,0.1335,0.064657001,0.133935559,0.066595183,0.135232784,0.06863712,0.1,0.04843221
0.0985,0.047705727,0.104983151,0.049280548,0.100299094,0.049466441,0.1385,0.067078612,0.139640772,0.068414705,0.145730672,0.070337541,0.1,0.04843221
0.0985,0.047705727,0.103317423,0.052365758,0.098521423,0.050005179,0.1485,0.071921833,0.148788405,0.072989839,0.152749322,0.073226816,0.1,0.04843221
0.0985,0.047705727,0.103190459,0.051048302,0.101602785,0.047981549,0.1385,0.067078612,0.13997669,0.068682872,0.144383328,0.068988098,0.1,0.04843221
0.0985,0.047705727,0.101071298,0.049797861,0.100253947,0.049676782,0.1535,0.074343443,0.155983392,0.076699404,0.158657226,0.077340443,0.1,0.04843221
0.0985,0.047705727,0.104847311,0.052379302,0.100250089,0.049893605,0.1435,0.069500222,0.144393654,0.070142488,0.14526517,0.070533956,0.12,0.058118653
0.0985,0.047705727,0.104839431,0.050168312,0.100099127,0.049914469,0.1485,0.071921833,0.155684046,0.073182341,0.159144547,0.073838869,0.1,0.04843221
0.0935,0.045284117,0.096686452,0.048142175,0.095891733,0.046938827,0.1535,0.074343443,0.154275105,0.075775205,0.155310435,0.076672556,0.1,0.04843221
